Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Callee","[comctl32.dll]","[clbcatq.dll]",9,0,0.02,0.00,
"Callee","[comctl32.dll]","[comdlg32.dll]",15,0,0.04,0.00,
"Callee","[comctl32.dll]","[duser.dll]","1,412",0,3.38,0.00,
"Callee","[comctl32.dll]","[ExplorerFrame.dll]","2,442",4,5.84,0.01,
"Callee","[comctl32.dll]","[thumbcache.dll]",127,0,0.30,0.00,
"Root","[comdlg32.dll]","[comdlg32.dll]","9,844",7,23.55,0.02,
"Caller","[comdlg32.dll]","[combase.dll]",18,0,0.04,0.00,
"Caller","[comdlg32.dll]","[comctl32.dll]",15,0,0.04,0.00,
"Caller","[comdlg32.dll]","[comdlg32.dll]","9,818",3,23.48,0.01,
"Caller","[comdlg32.dll]","[ExplorerFrame.dll]",164,0,0.39,0.00,
"Caller","[comdlg32.dll]","[ntdll.dll]",470,1,1.12,0.00,
"Caller","[comdlg32.dll]","[shell32.dll]",545,2,1.30,0.00,
"Caller","[comdlg32.dll]","[System.Drawing.ni.dll]",156,0,0.37,0.00,
"Caller","[comdlg32.dll]","[user32.dll]","5,138",1,12.29,0.00,
"Caller","[comdlg32.dll]","[uxtheme.dll]",1,0,0.00,0.00,
"Caller","[comdlg32.dll]","[winspool.drv]","9,665",0,23.12,0.00,
"Callee","[comdlg32.dll]","[combase.dll]",408,144,0.98,0.34,
"Callee","[comdlg32.dll]","[comctl32.dll]",80,56,0.19,0.13,
"Callee","[comdlg32.dll]","[comdlg32.dll]","9,818",3,23.48,0.01,
"Callee","[comdlg32.dll]","[DropboxExt.26.0.dll]",2,0,0.00,0.00,
"Callee","[comdlg32.dll]","[dui70.dll]",11,0,0.03,0.00,
"Callee","[comdlg32.dll]","[ExplorerFrame.dll]","1,381",0,3.30,0.00,
"Callee","[comdlg32.dll]","[gdi32.dll]",3,3,0.01,0.01,
"Callee","[comdlg32.dll]","[gdi32full.dll]",1,1,0.00,0.00,
"Callee","[comdlg32.dll]","[KernelBase.dll]",24,24,0.06,0.06,
"Callee","[comdlg32.dll]","[msvcrt.dll]",1,1,0.00,0.00,
"Callee","[comdlg32.dll]","[ntdll.dll]",424,60,1.01,0.14,
"Callee","[comdlg32.dll]","[ntdll.dll]",53,53,0.13,0.13,
"Callee","[comdlg32.dll]","[oleacc.dll]",4,0,0.01,0.00,
"Callee","[comdlg32.dll]","[propsys.dll]",2,2,0.00,0.00,
"Callee","[comdlg32.dll]","[SHCore.dll]",161,5,0.39,0.01,
"Callee","[comdlg32.dll]","[shell32.dll]","2,603",674,6.23,1.61,
"Callee","[comdlg32.dll]","[shlwapi.dll]",12,2,0.03,0.00,
"Callee","[comdlg32.dll]","[twinapi.dll]",6,0,0.01,0.00,
"Callee","[comdlg32.dll]","[user32.dll]","9,593","1,150",22.95,2.75,
"Callee","[comdlg32.dll]","[uxtheme.dll]",43,42,0.10,0.10,
"Callee","[comdlg32.dll]","[win32u.dll]",49,49,0.12,0.12,
"Callee","[comdlg32.dll]","[windows.storage.dll]",263,236,0.63,0.56,
"Callee","[comdlg32.dll]","[winspool.drv]",150,1,0.36,0.00,
"Root","[d3d11.dll]","[d3d11.dll]",1,1,0.00,0.00,
"Caller","[d3d11.dll]","[d3d11.dll]",1,1,0.00,0.00,
"Callee","[d3d11.dll]","[d3d11.dll]",1,1,0.00,0.00,
"Root","[DataExchange.dll]","[DataExchange.dll]",22,0,0.05,0.00,
"Caller","[DataExchange.dll]","[DataExchange.dll]",4,0,0.01,0.00,
"Caller","[DataExchange.dll]","[ole32.dll]",16,0,0.04,0.00,
"Caller","[DataExchange.dll]","[shell32.dll]",6,0,0.01,0.00,
"Callee","[DataExchange.dll]","[DataExchange.dll]",4,0,0.01,0.00,
"Callee","[DataExchange.dll]","[ntdll.dll]",4,3,0.01,0.01,
"Callee","[DataExchange.dll]","[twinapi.appcore.dll]",18,0,0.04,0.00,
"Root","[davclnt.dll]","[davclnt.dll]",1,0,0.00,0.00,
"Caller","[davclnt.dll]","[davclnt.dll]",1,0,0.00,0.00,
"Caller","[davclnt.dll]","[KernelBase.dll]",1,0,0.00,0.00,
