Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,5,0.01,305,13,305,55,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,5,0.01,306,13,306,57,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,5,0.01,307,13,307,58,
"FoodMazaPos.Stocks.LoadGridView1",5,0.01,5,0.01,310,13,310,55,
"FoodMazaPos.updatestocks.LoadGridView1",5,0.01,5,0.01,33,13,33,28,
"[DevDispItemProvider.dll]",4,0.01,93,0.22,0,0,0,0,
"[msftedit.dll]",4,0.01,6,0.01,0,0,0,0,
"[winspool.drv]",4,0.01,"10,335",24.72,0,0,0,0,
"[WMVCORE.DLL]",4,0.01,6,0.01,0,0,0,0,
"FoodMazaPos.Cashier.Dgv_1",4,0.01,4,0.01,402,13,402,97,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,4,0.01,51,13,51,52,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,4,0.01,56,13,56,57,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,4,0.01,66,13,66,58,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,4,0.01,68,13,68,62,
"FoodMazaPos.ExportToExcel.LoadGridView1",4,0.01,4,0.01,70,13,70,54,
"FoodMazaPos.Inventory.InitializeComponent",4,0.01,4,0.01,"1,043",13,"1,043",51,
"FoodMazaPos.Inventory.InitializeComponent",4,0.01,4,0.01,"2,208",13,"2,208",50,
"FoodMazaPos.InvoiceDetails.InitializeComponent",4,0.01,4,0.01,216,13,216,52,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,4,0.01,43,13,43,52,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,4,0.01,44,13,44,53,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,4,0.01,46,13,46,57,
"FoodMazaPos.InvoiceDetails.LoadGridView",4,0.01,4,0.01,47,13,47,56,
"FoodMazaPos.InvoiceDetails.SearchInvoice_Click",4,0.01,4,0.01,139,17,139,39,
"FoodMazaPos.SalesSummary.SalesEstimation",4,0.01,4,0.01,133,21,133,80,
"FoodMazaPos.Stocks.InitializeComponent",4,0.01,4,0.01,337,13,337,52,
"FoodMazaPos.updatestocks.dgv_1",4,0.01,4,0.01,59,13,59,74,
"[msftedit.dll]",3,0.01,7,0.02,0,0,0,0,
"[OneCoreUAPCommonProxyStub.dll]",3,0.01,7,0.02,0,0,0,0,
"[System.ni.dll]",3,0.01,3,0.01,0,0,0,0,
"[xmllite.dll]",3,0.01,5,0.01,0,0,0,0,
"FoodMazaPos.Cashier.Dgv_1",3,0.01,3,0.01,410,13,410,88,
"FoodMazaPos.Inventory.InitializeComponent",3,0.01,3,0.01,"2,310",13,"2,310",38,
"FoodMazaPos.InvoiceDetails.LoadGridView",3,0.01,3,0.01,62,13,62,54,
"FoodMazaPos.SalesSummary.SalesEstimation",3,0.01,3,0.01,96,17,96,38,
"FoodMazaPos.updatestocks.InitializeComponent",3,0.01,3,0.01,301,13,301,52,
"FoodMazaPos.updatestocks.LoadGridView1",3,0.01,3,0.01,47,13,47,58,
"FoodMazaPos.updatestocks.LoadGridView1",3,0.01,3,0.01,48,13,48,59,
"FoodMazaPos.updatestocks.LoadGridView1",3,0.01,3,0.01,49,13,49,55,
"[advapi32.dll]",2,0.00,2,0.00,0,0,0,0,
"[oleacc.dll]",2,0.00,8,0.02,0,0,0,0,
"[policymanager.dll]",2,0.00,89,0.21,0,0,0,0,
"[Windows.Globalization.dll]",2,0.00,4,0.01,0,0,0,0,
"[xmllite.dll]",2,0.00,4,0.01,0,0,0,0,
"[xmllite.dll]",2,0.00,2,0.00,0,0,0,0,
"FoodMazaPos.About.InitializeComponent",2,0.00,2,0.00,71,13,71,42,
"FoodMazaPos.About.InitializeComponent",2,0.00,2,0.00,73,13,73,72,
"FoodMazaPos.Cashier.btnRefresh_Click",2,0.00,2,0.00,"1,490",13,"1,490",31,
"FoodMazaPos.Cashier.Dgv_1",2,0.00,2,0.00,413,13,413,93,
"FoodMazaPos.Cashier.InitializeComponent",2,0.00,2,0.00,937,13,937,45,
"FoodMazaPos.Cashier.Loadproducts",2,0.00,3,0.01,667,33,677,35,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",2,0.00,3,0.01,22,13,22,21,
"FoodMazaPos.ExportToExcel.LoadGridView6",2,0.00,2,0.00,161,13,161,34,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,161,13,161,65,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"1,507",13,"1,507",77,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"1,849",13,"1,849",41,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"1,975",13,"1,975",51,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,020",13,"2,020",69,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,224",13,"2,224",53,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,234",13,"2,234",52,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,235",13,"2,235",56,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,240",13,"2,240",56,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,241",13,"2,241",43,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,243",13,"2,243",56,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,249",13,"2,249",53,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,259",13,"2,259",53,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,265",13,"2,265",53,
"FoodMazaPos.Inventory.InitializeComponent",2,0.00,2,0.00,"2,301",13,"2,301",53,
"FoodMazaPos.Inventory.InventoryHeaderInfo",2,0.00,2,0.00,281,17,281,38,
"FoodMazaPos.Inventory.InventoryHeaderInfo",2,0.00,2,0.00,420,17,420,38,
"FoodMazaPos.Inventory.InventoryHeaderInfo",2,0.00,2,0.00,440,17,440,38,
"FoodMazaPos.Inventory.LoadGridView2",2,0.00,2,0.00,187,13,187,34,
"FoodMazaPos.Inventory.LoadGridView3",2,0.00,2,0.00,209,13,209,34,
"FoodMazaPos.Inventory.LoadGridView4",2,0.00,2,0.00,230,13,230,34,
"FoodMazaPos.InvoiceDetails.InvoiceDetails_Load",2,0.00,16,0.04,26,13,26,25,
"FoodMazaPos.SalesSummary.SalesEstimation",2,0.00,2,0.00,127,17,127,38,
"FoodMazaPos.SalesSummary.SalesEstimation",2,0.00,2,0.00,158,17,158,38,
"FoodMazaPos.Stocks..ctor",2,0.00,156,0.37,22,13,22,35,
"FoodMazaPos.Stocks.dgv_1",2,0.00,2,0.00,322,13,322,97,
"FoodMazaPos.Stocks.InitializeComponent",2,0.00,2,0.00,102,13,102,158,
"FoodMazaPos.updatestocks..ctor",2,0.00,110,0.26,21,13,21,35,
"FoodMazaPos.updatestocks.dgv_1",2,0.00,2,0.00,70,13,70,88,
"FoodMazaPos.updatestocks.dgv_1",2,0.00,2,0.00,73,13,73,93,
"FoodMazaPos.updatestocks.LoadGridView1",2,0.00,2,0.00,44,13,44,53,
"FoodMazaPos.updatestocks.LoadGridView1",2,0.00,2,0.00,46,13,46,57,
"FoodMazaPos.updatestocks.LoadGridView1",2,0.00,2,0.00,50,13,50,55,
"[d3d11.dll]",1,0.00,1,0.00,0,0,0,0,
"[davclnt.dll]",1,0.00,1,0.00,0,0,0,0,
"[dcomp.dll]",1,0.00,1,0.00,0,0,0,0,
"[dhcpcsvc.dll]",1,0.00,101,0.24,0,0,0,0,
"[dhcpcsvc6.dll]",1,0.00,19,0.05,0,0,0,0,
"[drprov.dll]",1,0.00,1,0.00,0,0,0,0,
"[edputil.dll]",1,0.00,3,0.01,0,0,0,0,
"[MMDevAPI.dll]",1,0.00,77,0.18,0,0,0,0,
"[msvcp110_win.dll]",1,0.00,1,0.00,0,0,0,0,
"[netprofm.dll]",1,0.00,210,0.50,0,0,0,0,
"[networkexplorer.dll]",1,0.00,1,0.00,0,0,0,0,
"[npmproxy.dll]",1,0.00,1,0.00,0,0,0,0,
"[ntshrui.dll]",1,0.00,6,0.01,0,0,0,0,
"[oleaut32.dll]",1,0.00,1,0.00,0,0,0,0,
"[setupapi.dll]",1,0.00,10,0.02,0,0,0,0,
"[twinapi.dll]",1,0.00,7,0.02,0,0,0,0,
"[wininet.dll]",1,0.00,1,0.00,0,0,0,0,
"[WMVCORE.DLL]",1,0.00,3,0.01,0,0,0,0,
"[wow64cpu.dll]",1,0.00,1,0.00,0,0,0,0,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,92,13,92,166,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,95,13,95,65,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,101,13,101,41,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,111,13,111,45,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,113,13,113,75,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,114,13,114,49,
"FoodMazaPos.About.InitializeComponent",1,0.00,1,0.00,125,13,125,70,
