Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"FoodMazaPos.updatestocks.ToFillGridview",37,0.09,0x0CD5CDCE,161,17,161,38,
"[KernelBase.dll]",36,0.09,0x75E112E8,0,0,0,0,
"[combase.dll]",35,0.08,0x76454EDF,0,0,0,0,
"[rpcrt4.dll]",35,0.08,0x7621DC93,0,0,0,0,
"[dui70.dll]",34,0.08,0x5EE9AD49,0,0,0,0,
"[KernelBase.dll]",34,0.08,0x75E086D8,0,0,0,0,
"[windows.storage.dll]",34,0.08,0x752F7145,0,0,0,0,
"FoodMazaPos.Cashier.InitializeComponent",34,0.08,0x030A267F,102,13,102,87,
"[windows.storage.dll]",33,0.08,0x7527767E,0,0,0,0,
"FoodMazaPos.SalesSummary.SalesEstimation",33,0.08,0x09FD498C,164,21,164,80,
"[ntdll.dll]",32,0.08,0x778EB1DB,0,0,0,0,
"[uxtheme.dll]",32,0.08,0x71324573,0,0,0,0,
"[windows.storage.dll]",32,0.08,0x751D15C1,0,0,0,0,
"[windows.storage.dll]",31,0.07,0x7525B6F4,0,0,0,0,
"[dui70.dll]",30,0.07,0x5EE94846,0,0,0,0,
"[shell32.dll]",30,0.07,0x76AABD70,0,0,0,0,
"[System.Drawing.ni.dll]",29,0.07,0x6D1C7F15,0,0,0,0,
"[System.Windows.Forms.DataVisualization.ni.dll]",29,0.07,0x5F1C5554,0,0,0,0,
"[cfgmgr32.dll]",28,0.07,0x765D66C9,0,0,0,0,
"[shell32.dll]",28,0.07,0x76AC941A,0,0,0,0,
"[System.Data.ni.dll]",28,0.07,0x64BF9F96,0,0,0,0,
"[uxtheme.dll]",28,0.07,0x7132EBC1,0,0,0,0,
"[windows.storage.dll]",28,0.07,0x75265D3D,0,0,0,0,
"[windows.storage.dll]",27,0.06,0x75200DE1,0,0,0,0,
"[comctl32.dll]",26,0.06,0x70D077D8,0,0,0,0,
"[ExplorerFrame.dll]",26,0.06,0x60360EE7,0,0,0,0,
"[ExplorerFrame.dll]",26,0.06,0x60381DD3,0,0,0,0,
"[KernelBase.dll]",26,0.06,0x75E0876B,0,0,0,0,
"[KernelBase.dll]",26,0.06,0x75E13D2B,0,0,0,0,
"FoodMazaPos.Cashier.btnRefresh_Click",26,0.06,0x0CD53E22,"1,498",13,"1,498",47,
"[shell32.dll]",25,0.06,0x768CC05A,0,0,0,0,
"FoodMazaPos.Cashier.label3Click",25,0.06,0x0CD56EA8,500,13,500,47,
"[comctl32.dll]",24,0.06,0x70D3516E,0,0,0,0,
"[dui70.dll]",24,0.06,0x5EE99D48,0,0,0,0,
"[gdi32.dll]",24,0.06,0x76EB64BD,0,0,0,0,
"[KernelBase.dll]",24,0.06,0x75E2AD75,0,0,0,0,
"[windows.storage.dll]",24,0.06,0x7525A46E,0,0,0,0,
"FoodMazaPos.Inventory.InventoryHeaderInfo",24,0.06,0x09E08E96,310,21,310,80,
"[shell32.dll]",23,0.06,0x7691CF43,0,0,0,0,
"[shell32.dll]",23,0.06,0x76ABA7DA,0,0,0,0,
"[thumbcache.dll]",23,0.06,0x5ED817B1,0,0,0,0,
"[DropboxExt.26.0.dll]",22,0.05,0x5DCE0680,0,0,0,0,
"[ole32.dll]",21,0.05,0x77592F4D,0,0,0,0,
"[uxtheme.dll]",21,0.05,0x7132A21D,0,0,0,0,
"[win32u.dll]",21,0.05,0x76592C9C,0,0,0,0,
"[win32u.dll]",21,0.05,0x765934CC,0,0,0,0,
"[ExplorerFrame.dll]",20,0.05,0x60339F82,0,0,0,0,
"[propsys.dll]",20,0.05,0x6FFE4494,0,0,0,0,
"[shlwapi.dll]",20,0.05,0x766947CB,0,0,0,0,
"[uxtheme.dll]",19,0.05,0x71329E8A,0,0,0,0,
"[windows.storage.dll]",19,0.05,0x752612C8,0,0,0,0,
"[windows.storage.dll]",19,0.05,0x752A3A67,0,0,0,0,
"FoodMazaPos.Cashier.btnRefresh_Click",19,0.05,0x0CD53E4A,"1,500",13,"1,500",47,
"FoodMazaPos.Cashier.InitializeComponent",19,0.05,0x030A2715,105,13,105,88,
"[DropboxExt.26.0.dll]",18,0.04,0x5DCE07B2,0,0,0,0,
"[gdi32.dll]",18,0.04,0x76EB5A70,0,0,0,0,
"[KernelBase.dll]",18,0.04,0x75E27C02,0,0,0,0,
"[KernelBase.dll]",18,0.04,0x75E2BF44,0,0,0,0,
"[uxtheme.dll]",18,0.04,0x7132EBAA,0,0,0,0,
"[windows.storage.dll]",18,0.04,0x75237D72,0,0,0,0,
"[windows.storage.dll]",18,0.04,0x752B94F1,0,0,0,0,
"FoodMazaPos.SalesSummary.SalesEstimation",18,0.04,0x09FD40D3,102,21,102,80,
"[KernelBase.dll]",17,0.04,0x75E08789,0,0,0,0,
"[KernelBase.dll]",17,0.04,0x75E2A433,0,0,0,0,
"[shell32.dll]",17,0.04,0x76929A66,0,0,0,0,
"[shell32.dll]",17,0.04,0x76ACA8FC,0,0,0,0,
"[windows.storage.dll]",17,0.04,0x75247278,0,0,0,0,
"FoodMazaPos.Stocks.Dispose",17,0.04,0x08EC6AE5,20,13,20,37,
"[dfdll.dll]",16,0.04,0x5E63B44B,0,0,0,0,
"[duser.dll]",16,0.04,0x5EDC86B5,0,0,0,0,
"[ExplorerFrame.dll]",16,0.04,0x60353734,0,0,0,0,
"[nsi.dll]",16,0.04,0x75F31D13,0,0,0,0,
"[propsys.dll]",16,0.04,0x6FFE2F7A,0,0,0,0,
"[System.Windows.Forms.DataVisualization.ni.dll]",16,0.04,0x5F1C0BD6,0,0,0,0,
"[windows.storage.dll]",16,0.04,0x751D1818,0,0,0,0,
"[windows.storage.dll]",16,0.04,0x752A5D34,0,0,0,0,
"[atlthunk.dll]",15,0.04,0x5F7718F6,0,0,0,0,
"[comctl32.dll]",15,0.04,0x70D29F60,0,0,0,0,
"[msvcrt.dll]",15,0.04,0x757B87C0,0,0,0,0,
"[rpcrt4.dll]",15,0.04,0x761E757C,0,0,0,0,
"[uxtheme.dll]",15,0.04,0x7135E3B8,0,0,0,0,
"FoodMazaPos.SalesSummary.Dispose",15,0.04,0x09FD5D6D,20,13,20,37,
"FoodMazaPos.SalesSummary.Loadproducts",15,0.04,0x09FD5A43,279,37,279,72,
"[cfgmgr32.dll]",14,0.03,0x765B4DD9,0,0,0,0,
"[duser.dll]",14,0.03,0x5EDD3112,0,0,0,0,
"[KernelBase.dll]",14,0.03,0x75E12736,0,0,0,0,
"FoodMazaPos.Inventory.InitializeComponent",14,0.03,0x09E07A85,"2,218",13,"2,218",53,
"FoodMazaPos.updatestocks.Dispose",14,0.03,0x0CD5D00D,20,13,20,37,
"[combase.dll]",13,0.03,0x763E8928,0,0,0,0,
"[dui70.dll]",13,0.03,0x5EE714EA,0,0,0,0,
"[dui70.dll]",13,0.03,0x5EE834F3,0,0,0,0,
